city,month_name,high_temp,low_temp
NYC,Jan,38,27
NYC,Feb,42,29
NYC,Mar,50,35
NYC,Apr,61,45
NYC,May,71,54
NYC,Jun,79,64
NYC,Jul,84,69
NYC,Aug,83,68
NYC,Sept,75,61
NYC,Oct,64,50
NYC,Nov,54,42
NYC,Dec,43,32
Lima,Jan,79,68
Lima,Feb,81,68
Lima,Mar,79,68
Lima,Apr,77,64
Lima,May,72,63
Lima,Jun,70,61
Lima,Jul,66,61
Lima,Aug,66,59
Lima,Sept,68,59
Lima,Oct,70,61
Lima,Nov,73,63
Lima,Dec,77,66
Tuscon,Jan,65,39
Tuscon,Feb,68,42
Tuscon,Mar,73,45
Tuscon,Apr,82,51
Tuscon,May,90,59
Tuscon,Jun,100,68
Tuscon,Jul,100,74
Tuscon,Aug,97,73
Tuscon,Sept,94,68
Tuscon,Oct,84,57
Tuscon,Nov,72,45
Tuscon,Dec,65,40
Beijing,Jan,36,16
Beijing,Feb,39,19
Beijing,Mar,52,30
Beijing,Apr,68,45
Beijing,May,79,55
Beijing,Jun,86,64
Beijing,Jul,88,72
Beijing,Aug,86,68
Beijing,Sept,79,57
Beijing,Oct,66,45
Beijing,Nov,50,32
Beijing,Dec,37,19
Melbourne,Jan,79,59
Melbourne,Feb,79,61
Melbourne,Mar,75,57
Melbourne,Apr,70,54
Melbourne,May,63,50
Melbourne,Jun,57,45
Melbourne,Jul,57,43
Melbourne,Aug,59,45
Melbourne,Sept,63,48
Melbourne,Oct,68,50
Melbourne,Nov,72,54
Melbourne,Dec,75,57
Stockholm,Jan,30,23
Stockholm,Feb,30,23
Stockholm,Mar,37,27
Stockholm,Apr,48,34
Stockholm,May,61,43
Stockholm,Jun,70,52
Stockholm,Jul,72,55
Stockholm,Aug,68,55
Stockholm,Sept,59,48
Stockholm,Oct,50,41
Stockholm,Nov,39,34
Stockholm,Dec,34,27
