second,pitch,note,note_number
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,319.96158833333334,D#4,4.0
6,322.5087012,E4,5.0
7,86.107121,F2,6.0
8,89.890094,F#2,7.0
9,102.7268708,G#2,9.0
10,111.22603866666667,A2,10.0
11,136.8135804,C#3,2.0
12,80.0836014,E2,5.0
13,53.005323999999995,G#1,9.0
14,46.035437,F#1,7.0
15,86.10535433333332,F2,6.0
16,140.9124922,C#3,2.0
17,198.0588716,G3,8.0
18,48.22419,G1,8.0
19,154.83388140000002,D#3,4.0
20,29.061048333333332,A#0,11.0
21,73.7333932,D2,3.0
22,11.5035012,F#-1,6.0
23,35.745498,D1,3.0
24,38.3242112,D#1,4.0
25,69.0891578,C#2,2.0
26,48.324972,G1,8.0
27,77.46195679999998,D#2,4.0
28,77.4764735,D#2,4.0
29,77.36653759999999,D#2,4.0
30,304.35879539999996,D#4,4.0
31,222.88700600000004,A3,10.0
32,92.90813,F#2,7.0
33,165.81879183333334,E3,5.0
34,98.48011240000001,G2,8.0
35,665.6114624,E5,5.0
36,84.84784833333335,F2,6.0
37,24.493656800000004,G0,8.0
38,50.8647454,G#1,9.0
39,122.79335666666667,B2,12.0
40,104.5654352,G#2,9.0
41,43.20014949999999,F1,6.0
42,64.5491456,C2,1.0
43,97.54434040000001,G2,8.0
44,385.6321511666667,G4,8.0
45,208.52272320000003,G#3,9.0
46,103.991717,G#2,9.0
47,122.7924652,B2,12.0
48,196.9573166,G3,8.0
49,43.13893633333333,F1,6.0
50,36.48964,D1,3.0
51,56.73396220000001,A#1,11.0
52,82.29369866666666,E2,5.0
53,230.4148684,A#3,11.0
54,231.0879975,A#3,11.0
55,90.5737488,F#2,7.0
56,0.0,0,0.0
57,0.0,0,0.0
58,0.0,0,0.0
59,0.0,0,0.0
60,112.80103550000001,A2,10.0
61,285.7238222,D4,3.0
62,0.0,0,0.0
63,0.0,0,0.0
64,279.11956180000004,C#4,2.0
65,142.2225086666667,C#3,2.0
66,55.2583618,A1,10.0
67,182.6921411666667,F#3,7.0
68,170.904474,F3,6.0
69,104.22957780000002,G#2,9.0
70,247.46615599999998,B3,12.0
71,308.30081179999996,D#4,4.0
72,258.9997558,C4,1.0
73,44.68806966666667,F1,6.0
74,172.92279059999998,F3,6.0
75,192.57424916666665,G3,8.0
76,160.63764659999998,E3,5.0
77,319.9259156,D#4,4.0
78,323.663208,E4,5.0
79,310.8302978,D#4,4.0
80,269.62121583333334,C#4,2.0
81,460.8984864,A#4,11.0
82,463.3581238,A#4,11.0
83,225.20421850000002,A3,10.0
84,960.2506164,B5,12.0
85,413.73125,G#4,9.0
86,834.3940835,G#5,9.0
87,157.54693600000002,D#3,4.0
88,383.3369395,G4,8.0
89,155.55930800000002,D#3,4.0
90,298.06184079999997,D4,3.0
91,394.18514516666664,G4,8.0
92,390.15068979999995,G4,8.0
93,392.89461266666666,G4,8.0
94,398.4375242,G4,8.0
95,308.29375,D#4,4.0
96,291.87721250000004,D4,3.0
97,786.816803,G5,8.0
98,456.1040772,A#4,11.0
99,263.18877649999996,C4,1.0
100,428.31588739999995,A4,10.0
101,201.65083316666667,G3,8.0
102,303.7880736,D#4,4.0
103,464.2357726,A#4,11.0
104,272.1082,C#4,2.0
105,245.96134659999998,B3,12.0
106,252.52913933333332,B3,12.0
107,249.3874024,B3,12.0
108,232.57474059999998,A#3,11.0
109,154.8468655,D#3,4.0
110,0.0,0,0.0
111,0.0,0,0.0
112,0.0,0,0.0
113,0.0,0,0.0
114,0.0,0,0.0
115,0.0,0,0.0
116,0.0,0,0.0
117,0.0,0,0.0
118,0.0,0,0.0
119,0.0,0,0.0
120,284.0813191666667,C#4,2.0
121,0.0,0,0.0
122,115.5506185,A#2,11.0
123,164.2723632,E3,5.0
124,291.3937926,D4,3.0
125,0.0,0,0.0
126,128.24420759999998,C3,1.0
127,263.3730213333333,C4,1.0
128,104.5544922,G#2,9.0
129,230.79970679999997,A#3,11.0
130,257.76012683333335,C4,1.0
131,156.96962279999997,D#3,4.0
132,155.41980900000001,D#3,4.0
133,168.88509883333333,E3,5.0
134,276.3719542,C#4,2.0
135,138.6081085,C#3,2.0
136,296.5428282,D4,3.0
137,407.2067566,G#4,9.0
138,389.4995626666667,G4,8.0
139,218.78721320000005,A3,10.0
140,440.47417199999995,A4,10.0
141,466.3440549999999,A#4,11.0
142,810.9002624000001,G#5,9.0
143,0.0,0,0.0
144,156.2367126,D#3,4.0
145,806.8426332,G5,8.0
146,31.532895333333332,B0,12.0
147,339.68105160000005,F4,6.0
148,128.91989633333333,C3,1.0
149,46.8755676,F#1,7.0
150,234.7988634,A#3,11.0
151,129.64849600000002,C3,1.0
152,215.2132474,A3,10.0
153,217.0560965,A3,10.0
154,399.93508940000004,G4,8.0
155,170.092195,F3,6.0
156,267.70221183333337,C4,1.0
157,114.9143434,A#2,11.0
158,185.573709,F#3,7.0
159,323.33106116666664,E4,5.0
160,163.055133,E3,5.0
161,71.69495133333334,D2,3.0
162,77.6341324,D#2,4.0
163,122.1181372,B2,12.0
164,41.67242383333333,E1,5.0
165,108.1644196,A2,10.0
166,119.405459,A#2,11.0
167,104.45743399999999,G#2,9.0
168,0.0,0,0.0
169,0.0,0,0.0
170,0.0,0,0.0
171,0.0,0,0.0
172,0.0,0,0.0
173,0.0,0,0.0
174,0.0,0,0.0
175,0.0,0,0.0
176,0.0,0,0.0
177,0.0,0,0.0
178,0.0,0,0.0
179,0.0,0,0.0
180,0.0,0,0.0
181,0.0,0,0.0
182,0.0,0,0.0
183,0.0,0,0.0
184,0.0,0,0.0
185,0.0,0,0.0
186,0.0,0,0.0
187,0.0,0,0.0
188,0.0,0,0.0
189,0.0,0,0.0
190,0.0,0,0.0
191,105.3099426,G#2,9.0
192,273.0646484,C#4,2.0
193,224.53526333333335,A3,10.0
194,0.0,0,0.0
195,0.0,0,0.0
196,0.0,0,0.0
197,0.0,0,0.0
198,0.0,0,0.0
199,393.1197876,G4,8.0
200,213.04181416666665,G#3,9.0
201,669.9058229999999,E5,5.0
202,177.5591126,F3,6.0
203,412.7736105000001,G#4,9.0
204,0.0,0,0.0
205,162.0891542,E3,5.0
206,220.9981868333333,A3,10.0
207,76.3762588,D#2,4.0
208,129.78314716666668,C3,1.0
209,237.7117064,A#3,11.0
210,180.1145386,F#3,7.0
211,0.0,0,0.0
212,0.0,0,0.0
213,0.0,0,0.0
214,0.0,0,0.0
215,0.0,0,0.0
216,0.0,0,0.0
217,0.0,0,0.0
218,37.498187200000004,D1,3.0
219,228.7301381666667,A#3,11.0
220,282.8844634,C#4,2.0
221,113.875267,A#2,11.0
222,0.0,0,0.0
223,0.0,0,0.0
224,203.79240933333335,G#3,9.0
225,503.1158936,B4,12.0
226,132.72351583333332,C3,1.0
227,125.3119506,B2,12.0
228,561.6151182000001,C#5,2.0
229,235.58908583333337,A#3,11.0
230,0.0,0,0.0
231,125.22838140000002,B2,12.0
232,0.0,0,0.0
233,0.0,0,0.0
234,184.040385,F#3,7.0
235,276.4783082,C#4,2.0
236,55.173727400000004,A1,10.0
237,0.0,0,0.0
238,62.6140992,B1,12.0
239,138.8037964,C#3,2.0
240,76.8509115,D#2,4.0
241,0.0,0,0.0
242,1151.1054686666666,D6,3.0
243,0.0,0,0.0
244,120.61352539999999,B2,12.0
245,0.0,0,0.0
246,149.3114746,D3,3.0
247,57.8103155,A#1,11.0
248,162.00982679999998,E3,5.0
249,0.0,0,0.0
250,78.7447015,D#2,4.0
251,0.0,0,0.0
252,0.0,0,0.0
253,0.0,0,0.0
254,0.0,0,0.0
255,13.3441645,G#-1,9.0
256,0.0,0,0.0
257,64.4579926,C2,1.0
258,46.80605116666667,F#1,7.0
259,160.80090639999997,E3,5.0
260,333.751592,E4,5.0
261,211.70927739999996,G#3,9.0
262,186.87376099999997,F#3,7.0
263,159.733968,D#3,4.0
264,208.38004140000004,G#3,9.0
265,9.211019799999999,D-1,0.0
266,335.98571799999996,E4,5.0
267,300.5417542,D4,3.0
268,273.85818466666666,C#4,2.0
269,275.08605960000006,C#4,2.0
270,37.9659332,D#1,4.0
271,401.62144966666665,G4,8.0
272,405.54443359999993,G#4,9.0
273,363.6626026666666,F#4,7.0
274,166.1314818,E3,5.0
275,328.81843879999997,E4,5.0
276,365.91124983333333,F#4,7.0
277,148.0085814,D3,3.0
278,186.2062682,F#3,7.0
279,163.19832366666665,E3,5.0
280,252.94951780000002,B3,12.0
281,149.70486966666667,D3,3.0
282,0.0,0,0.0
283,0.0,0,0.0
284,0.0,0,0.0
285,0.0,0,0.0
286,0.0,0,0.0
287,0.0,0,0.0
288,0.0,0,0.0
289,0.0,0,0.0
290,0.0,0,0.0
291,0.0,0,0.0
292,0.0,0,0.0
293,0.0,0,0.0
294,0.0,0,0.0
295,0.0,0,0.0
296,0.0,0,0.0
297,0.0,0,0.0
298,0.0,0,0.0
299,11.568470000000001,F#-1,6.0
300,77.42561099999999,D#2,4.0
301,197.0041108,G3,8.0
302,178.05523816666664,F3,6.0
