Name,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LeBron James,33,CLE,NBA,PF,82,82,36.9,10.5,19.3,0.542,1.8,5,0.367,8.6,14.3,0.603,0.59,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5
Kevin Durant,29,GSW,NBA,PF,68,68,34.2,9.3,18,0.516,2.5,6.1,0.419,6.7,11.9,0.565,0.586,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3,2,26.4
Stephen Curry,29,GSW,NBA,PG,51,51,32,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3,2.2,26.4
James Harden,28,HOU,NBA,SG,72,72,35.4,9,20.1,0.449,3.7,10,0.367,5.4,10.1,0.531,0.541,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4
Kawhi Leonard,26,SAS,NBA,SF,9,9,23.3,5.8,12.3,0.468,1.2,3.9,0.314,4.6,8.4,0.539,0.518,3.4,4.2,0.816,0.7,4,4.7,2.3,2,1,1.8,1,16.2
Chris Paul,32,HOU,NBA,PG,58,58,31.8,6.3,13.8,0.46,2.5,6.5,0.38,3.8,7.2,0.532,0.55,3.5,3.8,0.919,0.6,4.8,5.4,7.9,1.7,0.2,2.2,2.4,18.6
Anthony Davis,24,NOP,NBA,PF,75,75,36.4,10.4,19.5,0.534,0.7,2.2,0.34,9.7,17.3,0.558,0.552,6.6,8,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1
Giannis Antetokounmpo,23,MIL,NBA,PF,75,75,36.7,9.9,18.7,0.529,0.6,1.9,0.307,9.3,16.8,0.554,0.545,6.5,8.5,0.76,2.1,8,10,4.8,1.5,1.4,3,3.1,26.9
Russell Westbrook,29,OKC,NBA,PG,80,80,36.4,9.5,21.1,0.449,1.2,4.1,0.298,8.3,17,0.485,0.477,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4
Chris Paul,32,HOU,NBA,PG,58,58,31.8,6.3,13.8,0.46,2.5,6.5,0.38,3.8,7.2,0.532,0.55,3.5,3.8,0.919,0.6,4.8,5.4,7.9,1.7,0.2,2.2,2.4,18.6
Joel Embiid,23,PHI,NBA,C,63,63,30.3,8.1,16.8,0.483,1,3.4,0.308,7,13.4,0.527,0.514,5.7,7.4,0.769,2.3,8.7,11,3.2,0.6,1.8,3.7,3.3,22.9
Jimmy Butler,28,MIN,NBA,SG,59,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,12.2,0.509,0.512,6.2,7.2,0.854,1.3,4,5.3,4.9,2,0.4,1.8,1.3,22.2
