"popularity","positiveness"
"popular","sad"
"super popular","neutral"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"not so popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","happy"
"popular","neutral"
"popular","happy"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","happy"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","happy"
"popular","happy"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","happy"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","happy"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","happy"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","happy"
"popular","happy"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","happy"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"not so popular","neutral"
"popular","neutral"
"not so popular","sad"
"not so popular","neutral"
"popular","happy"
"not so popular","neutral"
"not so popular","neutral"
"not so popular","sad"
"not so popular","happy"
"not so popular","sad"
"not so popular","neutral"
"not so popular","neutral"
"not so popular","happy"
"not so popular","neutral"
"popular","neutral"
"popular","happy"
"popular","happy"
"popular","happy"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","happy"
"popular","neutral"
"not so popular","happy"
"popular","sad"
"popular","sad"
"popular","sad"
"not so popular","sad"
"popular","neutral"
"not so popular","sad"
"not so popular","sad"
"not so popular","sad"
"not so popular","sad"
"not so popular","sad"
"popular","sad"
"not so popular","neutral"
"popular","neutral"
"not so popular","neutral"
"not so popular","neutral"
"not so popular","sad"
"not so popular","neutral"
"popular","neutral"
"super popular","neutral"
"not so popular","neutral"
"not so popular","sad"
"not so popular","neutral"
"not so popular","neutral"
"not so popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","happy"
"popular","neutral"
"not so popular","happy"
"not so popular","neutral"
"not so popular","neutral"
"not so popular","neutral"
"not so popular","sad"
"popular","happy"
"super popular","neutral"
"not so popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","happy"
"popular","neutral"
"popular","happy"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","happy"
"popular","neutral"
"popular","sad"
"popular","happy"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","sad"
"not so popular","neutral"
"popular","neutral"
"not so popular","sad"
"not so popular","sad"
"not so popular","happy"
"not so popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","happy"
"popular","neutral"
"not so popular","happy"
"popular","neutral"
"not so popular","happy"
"not so popular","sad"
"not so popular","neutral"
"not so popular","sad"
"not so popular","neutral"
"not so popular","neutral"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"not so popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","happy"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","neutral"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","sad"
"popular","neutral"
"popular","neutral"
"super popular","neutral"
"super popular","neutral"
"super popular","sad"
"super popular","neutral"
"super popular","neutral"
"super popular","sad"
"super popular","sad"
"super popular","happy"
"super popular","sad"
"super popular","neutral"
"super popular","happy"
"super popular","neutral"
"super popular","neutral"
"super popular","sad"
"super popular","sad"
"super popular","neutral"
"super popular","neutral"
"super popular","sad"
"super popular","sad"
"super popular","neutral"
"super popular","sad"
